iter	Passed	Remaining
917	15893	1419
918	15912	1402
919	15929	1385
920	15945	1367
921	15964	1350
922	15979	1333
923	15995	1315
924	16013	1298
925	16030	1281
926	16046	1263
927	16066	1246
928	16084	1229
929	16102	1211
930	16120	1194
931	16140	1177
932	16156	1160
933	16173	1142
934	16191	1125
935	16209	1108
936	16227	1091
937	16246	1073
938	16264	1056
939	16281	1039
940	16296	1021
941	16313	1004
942	16329	987
943	16349	969
944	16366	952
945	16382	935
946	16399	917
947	16414	900
948	16429	882
949	16445	865
950	16463	848
951	16480	830
952	16496	813
953	16513	796
954	16531	778
955	16548	761
956	16564	744
957	16580	726
958	16597	709
959	16614	692
960	16630	674
961	16646	657
962	16662	640
963	16680	622
964	16696	605
965	16712	588
966	16728	570
967	16744	553
968	16762	536
969	16780	518
970	16798	501
971	16816	484
972	16831	467
973	16847	449
974	16865	432
975	16881	415
976	16898	397
977	16914	380
978	16930	363
979	16946	345
980	16963	328
981	16983	311
982	17000	294
983	17017	276
984	17034	259
985	17051	242
986	17068	224
987	17085	207
988	17105	190
989	17124	172
990	17140	155
991	17158	138
992	17175	121
993	17192	103
994	17208	86
995	17224	69
996	17242	51
997	17258	34
998	17274	17
999	17291	0
